trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,stop_headsign,timepoint
10H-L04,05:00:00,05:00:10,G00511,0,0,0,0,Bundaran Senayan,0
10H-L04,05:31:44,05:31:54,G00240,1,0,0,6839.780036,Bundaran Senayan,0
10H-L04,05:33:32,05:33:42,G00238,2,0,0,7195.848354,Bundaran Senayan,0
10H-L04,05:38:54,05:39:04,G00236,3,0,0,8323.123015,Bundaran Senayan,0
10H-L04,05:47:16,05:47:26,G00234,4,0,0,10102.06656,Bundaran Senayan,0
10H-L04,05:54:51,05:55:01,G00120,5,0,0,11710.80053,Bundaran Senayan,0
10H-L04,05:56:24,05:56:34,G00122,6,0,0,12010.91843,Bundaran Senayan,0
10H-L04,06:02:43,06:02:53,G00166,7,0,0,13345.89181,Bundaran Senayan,0
10H-L04,06:06:26,06:06:36,G00400,8,0,0,14115.72402,Bundaran Senayan,0
10H-L04,06:12:25,06:12:35,G00398,9,0,0,15377.82952,Bundaran Senayan,0
10H-L04,06:18:01,06:18:11,G00437,10,0,0,16555.90656,Bundaran Senayan,0
10H-L04,06:20:34,06:20:44,G00434,11,0,0,17073.3335,Bundaran Senayan,0
10H-L04,06:27:09,06:27:19,G00723,12,0,0,18466.76967,Bundaran Senayan,0
10H-L04,06:35:12,06:35:22,G00080,13,0,0,20175.10105,Bundaran Senayan,0
10H-L04,06:44:27,06:44:37,G00014,14,0,0,22143.35237,Bundaran Senayan,0
10H-L04,06:47:43,06:47:53,G00694,15,0,0,22816.61367,Bundaran Senayan,0
10H-L04,06:50:22,06:50:32,G00695,16,0,0,23356.27002,Bundaran Senayan,0
10H-L04,06:53:38,06:53:48,G00015,17,0,0,24031.07761,Tanjung Priok,0
10H-L04,07:00:43,07:00:53,G00077,18,0,0,25530.84061,Tanjung Priok,0
10H-L04,07:08:26,07:08:36,G00725,19,0,0,27167.27908,Tanjung Priok,0
10H-L04,07:15:10,07:15:20,G00433,20,0,0,28590.1867,Tanjung Priok,0
10H-L04,07:18:06,07:18:16,G00436,21,0,0,29192.70124,Tanjung Priok,0
10H-L04,07:23:41,07:23:51,G00397,22,0,0,30368.6826,Tanjung Priok,0
10H-L04,07:29:42,07:29:52,G00399,23,0,0,31637.41282,Tanjung Priok,0
10H-L04,07:33:25,07:33:35,G00163,24,0,0,32407.71878,Tanjung Priok,0
10H-L04,07:39:53,07:40:03,G00121,25,0,0,33772.61703,Tanjung Priok,0
10H-L04,07:41:23,07:41:33,G00116,26,0,0,34064.90884,Tanjung Priok,0
10H-L04,07:46:44,07:46:54,G00233,27,0,0,35187.91962,Tanjung Priok,0
10H-L04,07:55:07,07:55:17,G00235,28,0,0,36969.50132,Tanjung Priok,0
10H-L04,08:00:28,08:00:38,G00237,29,0,0,38093.552,Tanjung Priok,0
10H-L04,08:02:16,08:02:26,G00239,30,0,0,38448.40206,Tanjung Priok,0
10H-L04,08:33:53,08:34:03,G00511,31,0,0,45263.81814,Tanjung Priok,0
10H-R09,05:00:00,05:00:10,G00695,0,0,0,0,Tanjung Priok,0
10H-R09,05:03:18,05:03:28,G00015,1,0,0,680.7900075,Tanjung Priok,0
10H-R09,05:10:22,05:10:32,G00077,2,0,0,2176.34309,Tanjung Priok,0
10H-R09,05:18:05,05:18:15,G00725,3,0,0,3813.604614,Tanjung Priok,0
10H-R09,05:24:48,05:24:58,G00433,4,0,0,5232.66435,Tanjung Priok,0
10H-R09,05:27:46,05:27:56,G00436,5,0,0,5841.428309,Tanjung Priok,0
10H-R09,05:33:31,05:33:41,G00397,6,0,0,7053.674613,Tanjung Priok,0
10H-R09,05:39:32,05:39:42,G00399,7,0,0,8323.911255,Tanjung Priok,0
10H-R09,05:43:15,05:43:25,G00163,8,0,0,9094.624468,Tanjung Priok,0
10H-R09,05:49:43,05:49:53,G00121,9,0,0,10459.88838,Tanjung Priok,0
10H-R09,05:51:14,05:51:24,G00116,10,0,0,10753.72289,Tanjung Priok,0
10H-R09,05:56:35,05:56:45,G00233,11,0,0,11877.67542,Tanjung Priok,0
10H-R09,06:04:59,06:05:09,G00235,12,0,0,13661.60292,Tanjung Priok,0
10H-R09,06:10:21,06:10:31,G00237,13,0,0,14788.04424,Tanjung Priok,0
10H-R09,06:12:09,06:12:19,G00239,14,0,0,15143.17528,Tanjung Priok,0
10H-R09,06:43:41,06:43:51,G00511,15,0,0,21938.94517,Tanjung Priok,0
10-P21,05:00:00,05:00:10,G00511,0,0,0,0,Halim,0
10-P21,05:05:28,05:05:38,G00509,1,0,0,1137.318863,Halim,0
10-P21,05:08:05,05:08:15,G00503,2,0,0,1714.27644,Halim,0
10-P21,05:10:40,05:10:50,G00500,3,0,0,2211.128122,Halim,0
10-P21,05:15:47,05:15:57,G00497,4,0,0,3277.374718,Halim,0
10-P21,05:23:34,05:23:44,G00494,5,0,0,4926.431176,Halim,0
10-P21,05:34:41,05:34:51,G00489,6,0,0,7324.69933,Halim,0
10-P21,05:37:12,05:37:22,G00485,7,0,0,7831.158264,Halim,0
10-P21,05:41:51,05:42:01,G00479,8,0,0,8810.597933,Halim,0
10-P21,05:43:26,05:43:36,G00477,9,0,0,9116.91535,Halim,0
10-P21,05:49:00,05:49:10,G00473,10,0,0,10284.19875,Halim,0
10-P21,05:51:56,05:52:06,G00469,11,0,0,10882.30841,Halim,0
10-P21,05:54:33,05:54:43,G00465,12,0,0,11419.68677,Halim,0
10-P21,06:22:20,06:22:30,G00460,13,0,0,12319.33795,Halim,0
10-P21,06:51:05,06:51:15,G00459,14,0,0,13438.0723,Halim,0
10-P21,06:53:39,06:53:49,G00456,15,0,0,13945.96246,Halim,0
10-P21,07:13:40,07:13:50,G00455,16,0,0,15248.89533,Halim,0
10-P21,07:17:45,07:17:55,G00453,17,0,0,16098.74159,Halim,0
10-P21,07:22:38,07:22:48,G00452,18,0,0,16283.36476,Tanjung Priok,0
10-P21,07:42:39,07:42:49,G00454,19,0,0,17135.40296,Tanjung Priok,0
10-P21,07:45:12,07:45:22,G00457,20,0,0,18442.21349,Tanjung Priok,0
10-P21,07:50:31,07:50:41,G00458,21,0,0,18972.32179,Tanjung Priok,0
10-P21,07:54:50,07:55:00,G00461,22,0,0,20066.77788,Tanjung Priok,0
10-P21,07:57:31,07:57:41,G00463,23,0,0,20970.72659,Tanjung Priok,0
10-P21,08:00:25,08:00:35,G00467,24,0,0,21506.64331,Tanjung Priok,0
10-P21,08:05:58,08:06:08,G00471,25,0,0,22103.77283,Tanjung Priok,0
10-P21,08:07:36,08:07:46,G00475,26,0,0,23273.82424,Tanjung Priok,0
10-P21,08:12:18,08:12:28,G00481,27,0,0,23585.12125,Tanjung Priok,0
10-P21,08:14:47,08:14:57,G00483,28,0,0,24564.33451,Tanjung Priok,0
10-P21,08:25:54,08:26:04,G00487,29,0,0,25082.0875,Tanjung Priok,0
10-P21,08:33:42,08:33:52,G00492,30,0,0,27459.39347,Tanjung Priok,0
10-P21,08:38:49,08:38:59,G00496,31,0,0,29108.30924,Tanjung Priok,0
10-P21,08:41:24,08:41:34,G00499,32,0,0,30174.94259,Tanjung Priok,0
10-P21,08:43:54,08:44:04,G00505,33,0,0,30695.28627,Tanjung Priok,0
10-P21,08:51:22,08:51:32,G00507,34,0,0,31211.76561,Tanjung Priok,0
11P-L01,05:00:00,05:00:10,B03289P,0,0,0,0,Walikota Jakarta Timur,0
11P-L01,05:02:09,05:02:19,B01676P,1,0,0,429.8938936,Walikota Jakarta Timur,0
11P-L01,05:04:45,05:04:55,B00636P,2,0,0,959.5583061,Walikota Jakarta Timur,0
11P-L01,05:05:15,05:05:25,B00328P,3,0,0,1031.978225,Walikota Jakarta Timur,0
11P-L01,05:07:52,05:08:02,B00100P,4,0,0,1565.032264,Walikota Jakarta Timur,0
11P-L01,05:08:55,05:09:05,B02307P,5,0,0,1759.456833,Walikota Jakarta Timur,0
11P-L01,05:10:22,05:10:32,B01578P,6,0,0,2038.344048,Walikota Jakarta Timur,0
11P-L01,05:11:40,05:11:50,B01622P,7,0,0,2286.546738,Walikota Jakarta Timur,0
11P-L01,05:13:23,05:13:33,B02351P,8,0,0,2624.940139,Walikota Jakarta Timur,0
11P-L01,05:15:40,05:15:50,B01096P,9,0,0,3086.106194,Walikota Jakarta Timur,0
11P-L01,05:17:31,05:17:41,B05885P,10,0,0,3453.585932,Walikota Jakarta Timur,0
11P-L01,05:18:18,05:18:28,B06660P,11,0,0,3587.921046,Walikota Jakarta Timur,0
11P-L01,05:19:49,05:19:59,B00306P,12,0,0,3880.696553,Walikota Jakarta Timur,0
11P-L01,05:20:55,05:21:05,B00195P,13,0,0,4086.222169,Walikota Jakarta Timur,0
11P-L01,05:21:35,05:21:45,B05581P,14,0,0,4197.929081,Walikota Jakarta Timur,0
11P-L01,05:22:32,05:22:42,B00369P,15,0,0,4369.190118,Walikota Jakarta Timur,0
11P-L01,05:24:24,05:24:34,B06662P,16,0,0,4740.488711,Walikota Jakarta Timur,0
11P-L01,05:25:25,05:25:35,B01803P,17,0,0,4927.227886,Walikota Jakarta Timur,0
11P-L01,05:26:27,05:26:37,B02818P,18,0,0,5117.60498,Walikota Jakarta Timur,0
11P-L01,05:28:08,05:28:18,B04648P,19,0,0,5448.806132,Walikota Jakarta Timur,0
11P-L01,05:32:29,05:32:39,B06652P,20,0,0,6355.153677,Walikota Jakarta Timur,0
11P-L01,05:34:06,05:34:16,B06664P,21,0,0,6670.801719,Walikota Jakarta Timur,0
11P-L01,05:35:45,05:35:55,B07455P,22,0,0,6994.299112,Walikota Jakarta Timur,0
11P-L01,05:36:50,05:37:00,B06654P,23,0,0,7195.135779,Walikota Jakarta Timur,0
11P-L01,05:38:05,05:38:15,B06666P,24,0,0,7430.237382,Rusun Pondok Bambu,0
11P-L01,05:42:13,05:42:23,B06667P,25,0,0,8292.757421,Rusun Pondok Bambu,0
11P-L01,05:43:38,05:43:48,B06655P,26,0,0,8566.341075,Rusun Pondok Bambu,0
11P-L01,05:45:47,05:45:57,B06665P,27,0,0,8997.549413,Rusun Pondok Bambu,0
11P-L01,05:47:21,05:47:31,B06653P,28,0,0,9301.387107,Rusun Pondok Bambu,0
11P-L01,05:51:41,05:51:51,B07574P,29,0,0,10207.05857,Rusun Pondok Bambu,0
11P-L01,05:53:38,05:53:48,B07357P,30,0,0,10594.37288,Rusun Pondok Bambu,0
11P-L01,05:54:45,05:54:55,B03280P,31,0,0,10800.60804,Rusun Pondok Bambu,0
11P-L01,05:55:33,05:55:43,B06663P,32,0,0,10938.70684,Rusun Pondok Bambu,0
11P-L01,05:57:16,05:57:26,B00368P,33,0,0,11277.91415,Rusun Pondok Bambu,0
11P-L01,05:58:56,05:59:06,B00227P,34,0,0,11604.9698,Rusun Pondok Bambu,0
11P-L01,05:59:29,05:59:39,B05318P,35,0,0,11688.7252,Rusun Pondok Bambu,0
